alg,timestamp,only_inference,val_size_pct,infer_lr,infer_weight_decay,infer_num_epochs,gpu,seed,root_dir,results_csv,batch_size,num_epochs,lr,weight_decay,momentum,pretrained,infer_momentum,high_sampling_power,train_worst_group_accuracy,train_average_accuracy,group_accuracy,group_avg_precision,group_min_precision,group_avg_recall,group_min_recall,worst_group_accuracy,average_accuracy,early_stopping_worst_group_accuracy,early_stopping_average_accuracy,eiil_num_steps,eiil_lr,upsample_factor
spare,2024-01-17 19:43:10.084383,False,15,0.0001,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,17.61904761904762,93.45622726322522,0.665266106442577,0.5324397824397824,0.1153846153846153,0.394609870416322,0.1153846153846153,47.97507788161994,95.30184924248674,80.99688473520249,97.9601386070233,,,
eiil,2024-01-17 19:20:44.216874,False,5,0.0001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,86.04796663190824,0.2647058823529412,0.7708333333333333,0.5416666666666666,0.5268817204301075,0.053763440860215,6.96230598669623,82.11167394791539,64.34589800443459,96.6028205099782,20000.0,0.01,
spare,2024-01-17 21:23:37.699078,False,5,1e-05,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.77923335129906,0.4957983193277311,0.5272785622593068,0.4756097560975609,0.4212158808933002,0.4193548387096774,53.08203991130821,91.3564995737506,75.38940809968847,97.93221667711823,,,
spare,2024-01-17 21:37:01.053594,False,15,1e-05,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.77923335129906,0.4663865546218487,0.5042765502494654,0.4347826086956521,0.4214915908464295,0.3942652329749104,58.04878048780488,93.03433304025964,75.38940809968847,97.73777289592928,,,
spare,2024-01-17 21:39:23.040241,False,5,1e-05,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.61687348136094,0.5042016806722689,0.5407407407407407,0.4814814814814814,0.4404466501240694,0.4193548387096774,58.56697819314642,96.0144019188076,75.0778816199377,97.94050879923708,,,
eiil,2024-01-17 18:01:22.671468,False,5,0.0001,0.01,2,7,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,92.74244004171013,0.3445378151260504,0.7976190476190477,0.5952380952380952,0.5506617038875103,0.1397849462365591,53.58255451713396,86.29014386238367,80.52959501557632,96.03656423651464,20000.0,0.01,
eiil,2024-01-17 17:58:13.683069,False,5,0.0001,0.01,1,6,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,86.02711157455683,0.2647058823529412,0.7708333333333333,0.5416666666666666,0.5268817204301075,0.053763440860215,6.651884700665189,81.62342991670516,63.10421286031042,96.459773537999,20000.0,0.01,
spare,2024-01-17 21:40:34.893218,False,5,1e-05,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.77922796752145,0.5,0.5378048780487805,0.4756097560975609,0.4404466501240694,0.4193548387096774,41.59645232815964,89.2705058650428,73.67601246105919,98.02767506201174,,,
eiil,2024-01-17 17:58:34.897979,False,15,0.0001,0.01,1,6,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,86.02711157455683,0.4971988795518207,0.5347330801876257,0.5289256198347108,0.4460987041632203,0.07168458781362,6.651884700665189,81.62342991670516,63.55140186915888,96.23476292489086,20000.0,0.01,
spare,2024-01-17 21:43:46.144563,False,15,1e-05,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.77922796752145,0.4705882352941176,0.5066433104177683,0.439516129032258,0.419699476151089,0.3906810035842294,37.028824833702885,82.70032586576322,75.70093457943925,97.7104969252472,,,
